"filename", "language", "TypeScript", "Makefile", "Properties", "Python", "HTML", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\Makefile", "Makefile", 0, 146, 0, 0, 0, 0, 0, 57, 42, 245
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\README.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\__init__.py", "Python", 0, 0, 0, 3, 0, 0, 0, 31, 3, 37
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\i18n\af.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\pb_tool.cfg", "Properties", 0, 0, 14, 0, 0, 0, 0, 53, 14, 81
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\plugin_upload.py", "Python", 0, 0, 0, 77, 0, 0, 0, 22, 13, 112
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\refined_lee_filter.py", "Python", 0, 0, 0, 123, 0, 0, 0, 82, 37, 242
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\refined_lee_filter_dialog.py", "Python", 0, 0, 0, 9, 0, 0, 0, 30, 6, 45
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\refined_lee_filter_dialog_base.ui.xml", "XML", 0, 0, 0, 0, 0, 0, 158, 0, 1, 159
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\resources.py", "Python", 0, 0, 0, 113, 0, 0, 0, 6, 11, 130
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\scripts\compile-strings.sh", "Shell Script", 0, 0, 0, 0, 0, 7, 0, 3, 3, 13
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\scripts\run-env-linux.sh", "Shell Script", 0, 0, 0, 0, 0, 20, 0, 1, 8, 29
"c:\Users\AUG\Documents\qgis-plugins\refined_lee_filter\scripts\update-strings.sh", "Shell Script", 0, 0, 0, 0, 0, 41, 0, 10, 6, 57
"Total", "-", 11, 146, 14, 325, 40, 68, 158, 295, 148, 1205